source,redirected
"https://www-stage.pluralsight.com/cloud-guru/courses/certified-entry-level-python-programmer-certification","https://www-stage.pluralsight.com/courses/certified-entry-level-python-programmer-certification"
"https://www-stage.pluralsight.com/cloud-guru/courses/cloud-computing-foundations","https://www-stage.pluralsight.com/courses/cloud-computing-foundations"
"https://www-stage.pluralsight.com/cloud-guru/courses/encryption-fundamentals","https://www-stage.pluralsight.com/courses/encryption-fundamentals"
"https://www-stage.pluralsight.com/cloud-guru/courses/getting-started-with-azure-machine-learning-studio","https://www-stage.pluralsight.com/courses/getting-started-with-azure-machine-learning-studio"
"https://www-stage.pluralsight.com/cloud-guru/courses/advanced-perspective-of-classes-and-object-oriented-programming-in-python","https://www-stage.pluralsight.com/courses/advanced-perspective-of-classes-and-object-oriented-programming-in-python"
"https://www-stage.pluralsight.com/cloud-guru/courses/how-to-source-a-container-image-and-start-a-container-in-the-cloud","https://www-stage.pluralsight.com/courses/how-to-source-a-container-image-and-start-a-container-in-the-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certification-preparation-guide","https://www-stage.pluralsight.com/courses/aws-certification-preparation-guide"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-hybrid-environments-on-azure","https://www-stage.pluralsight.com/courses/introduction-to-hybrid-environments-on-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/kubernetes-security","https://www-stage.pluralsight.com/courses/kubernetes-security"
"https://www-stage.pluralsight.com/cloud-guru/courses/securing-applications-with-aws","https://www-stage.pluralsight.com/courses/securing-applications-with-aws"
"https://www-stage.pluralsight.com/cloud-guru/courses/build-your-own-linux-kernel-from-scratch","https://www-stage.pluralsight.com/courses/build-your-own-linux-kernel-from-scratch"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-amazon-codeguru","https://www-stage.pluralsight.com/courses/introduction-to-amazon-codeguru"
"https://www-stage.pluralsight.com/cloud-guru/courses/microsoft-sql-server-on-linux-in-azure","https://www-stage.pluralsight.com/courses/microsoft-sql-server-on-linux-in-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/implementing-a-full-cicd-pipeline","https://www-stage.pluralsight.com/courses/implementing-a-full-cicd-pipeline"
"https://www-stage.pluralsight.com/cloud-guru/courses/managing-azure-resources-with-ansible","https://www-stage.pluralsight.com/courses/managing-azure-resources-with-ansible"
"https://www-stage.pluralsight.com/cloud-guru/courses/red-hat-certified-specialist-in-advanced-automation-ansible-best-practices-ex447","https://www-stage.pluralsight.com/courses/red-hat-certified-specialist-in-advanced-automation-ansible-best-practices-ex447"
"https://www-stage.pluralsight.com/cloud-guru/courses/kubernetes-and-cloud-native-associate-kcna","https://www-stage.pluralsight.com/courses/kubernetes-and-cloud-native-associate-kcna"
"https://www-stage.pluralsight.com/cloud-guru/courses/networking-foundations","https://www-stage.pluralsight.com/courses/networking-foundations"
"https://www-stage.pluralsight.com/cloud-guru/courses/wardley-mapping","https://www-stage.pluralsight.com/courses/wardley-mapping"
"https://www-stage.pluralsight.com/cloud-guru/courses/jboss-eap-administration","https://www-stage.pluralsight.com/courses/jboss-eap-administration"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-salt-project","https://www-stage.pluralsight.com/courses/introduction-to-salt-project"
"https://www-stage.pluralsight.com/cloud-guru/courses/running-linux-servers-on-azure","https://www-stage.pluralsight.com/courses/running-linux-servers-on-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/nagios-certified-professional-prep-course","https://www-stage.pluralsight.com/courses/nagios-certified-professional-prep-course"
"https://www-stage.pluralsight.com/cloud-guru/courses/hands-on-with-podman-containers-on-linux","https://www-stage.pluralsight.com/courses/hands-on-with-podman-containers-on-linux"
"https://www-stage.pluralsight.com/cloud-guru/courses/deploying-resources-to-gcp-with-terraform","https://www-stage.pluralsight.com/courses/getting-started-terraform-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/deploying-and-managing-a-web-application-in-kubernetes-with-terraform","https://www-stage.pluralsight.com/courses/deploying-and-managing-a-web-application-in-kubernetes-with-terraform"
"https://www-stage.pluralsight.com/cloud-guru/courses/kubernetes-deep-dive","https://www-stage.pluralsight.com/courses/kubernetes-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/configuring-load-balancers-in-microsoft-azure","https://www-stage.pluralsight.com/courses/configuring-load-balancers-in-microsoft-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/hands-on-with-aws-systems-manager","https://www-stage.pluralsight.com/courses/hands-on-with-aws-systems-manager"
"https://www-stage.pluralsight.com/cloud-guru/courses/migrating-servers-to-azure","https://www-stage.pluralsight.com/courses/migrating-servers-to-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/automating-lifecycle-management-of-azure-file-shares","https://www-stage.pluralsight.com/courses/automating-lifecycle-management-of-azure-file-shares"
"https://www-stage.pluralsight.com/cloud-guru/courses/learn-jenkins-by-doing","https://www-stage.pluralsight.com/courses/learn-jenkins-by-doing"
"https://www-stage.pluralsight.com/cloud-guru/courses/learning-hashicorp-nomad","https://www-stage.pluralsight.com/courses/learning-hashicorp-nomad"
"https://www-stage.pluralsight.com/cloud-guru/courses/secure-container-host-operating-system","https://www-stage.pluralsight.com/courses/secure-container-host-operating-system"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-devsecops-on-azure","https://www-stage.pluralsight.com/courses/introduction-to-devsecops-on-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/lemp-stack-deep-dive","https://www-stage.pluralsight.com/courses/lemp-stack-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/comptia-cysa-certification","https://www-stage.pluralsight.com/courses/comptia-cysa-certification"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-azure","https://www-stage.pluralsight.com/courses/introduction-to-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/automating-aws-with-lambda-python-and-boto3","https://www-stage.pluralsight.com/courses/automating-aws-with-lambda-python-and-boto3"
"https://www-stage.pluralsight.com/cloud-guru/courses/cross-platform-powershell-in-azure","https://www-stage.pluralsight.com/courses/cross-platform-powershell-in-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/big-data-fundamentals","https://www-stage.pluralsight.com/courses/big-data-fundamentals"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-containers-and-docker","https://www-stage.pluralsight.com/courses/introduction-to-containers-and-docker"
"https://www-stage.pluralsight.com/cloud-guru/courses/understanding-the-differences-between-aws-microsoft-azure-and-google-cloud","https://www-stage.pluralsight.com/courses/understanding-the-differences-between-aws-microsoft-azure-and-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/linux-network-client-management","https://www-stage.pluralsight.com/courses/linux-network-client-management"
"https://www-stage.pluralsight.com/cloud-guru/courses/logging-and-security-for-associate-aws-solutions-architects","https://www-stage.pluralsight.com/courses/logging-and-security-for-associate-aws-solutions-architects"
"https://www-stage.pluralsight.com/cloud-guru/courses/hands-on-gitops","https://www-stage.pluralsight.com/courses/hands-on-gitops"
"https://www-stage.pluralsight.com/cloud-guru/courses/dns-and-bind-deep-dive","https://www-stage.pluralsight.com/courses/dns-and-bind-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-jenkins","https://www-stage.pluralsight.com/courses/introduction-to-jenkins"
"https://www-stage.pluralsight.com/cloud-guru/courses/sql-deep-dive","https://www-stage.pluralsight.com/courses/sql-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-amazon-athena","https://www-stage.pluralsight.com/courses/introduction-to-amazon-athena"
"https://www-stage.pluralsight.com/cloud-guru/courses/ansible-setup-configure-and-ad-hoc-commands-deep-dive","https://www-stage.pluralsight.com/courses/ansible-setup-configure-and-ad-hoc-commands-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/understanding-the-differences-between-aws-ec2-and-gcp-gce","https://www-stage.pluralsight.com/courses/understanding-the-differences-between-aws-ec2-and-gcp-gce"
"https://www-stage.pluralsight.com/cloud-guru/courses/lpi-linux-essentials-certification","https://www-stage.pluralsight.com/courses/lpi-linux-essentials-certification"
"https://www-stage.pluralsight.com/cloud-guru/courses/github-actions-deep-dive","https://www-stage.pluralsight.com/courses/github-actions-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/amazon-dynamodb-deep-dive","https://www-stage.pluralsight.com/courses/amazon-dynamodb-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/compliance-in-the-cloud-fundamentals","https://www-stage.pluralsight.com/courses/compliance-in-the-cloud-fundamentals"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-well-architected-framework-deep-dive","https://www-stage.pluralsight.com/courses/aws-well-architected-framework-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/hands-on-with-amazon-documentdb","https://www-stage.pluralsight.com/courses/hands-on-with-amazon-documentdb"
"https://www-stage.pluralsight.com/cloud-guru/courses/designing-resilient-architectures-for-associate-aws-solutions-architects","https://www-stage.pluralsight.com/courses/designing-resilient-architectures-for-associate-aws-solutions-architects"
"https://www-stage.pluralsight.com/cloud-guru/courses/scenario-based-lxdlxc-security","https://www-stage.pluralsight.com/courses/scenario-based-lxdlxc-security"
"https://www-stage.pluralsight.com/cloud-guru/courses/comparison-of-linux-distributions","https://www-stage.pluralsight.com/courses/comparison-of-linux-distributions"
"https://www-stage.pluralsight.com/cloud-guru/courses/creating-a-terraform-configuration-for-multi-cloud-use","https://www-stage.pluralsight.com/courses/creating-a-terraform-configuration-for-multi-cloud-use"
